scenario,seed,episode,nodes,source_nodes,edges,density,average_degree,average_clustering_coefficient,graph_connected,average_shortest_path_length,effective_diameter,ego_component_size,ego_component_fraction,ego_degree,ego_degree_centrality,ego_betweenness_centrality,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop,edge_count_OOR,edge_count_CLOR,edge_count_CWOR,edge_count_SOR,edge_count_POR,node_type_count_ego_device,node_type_count_environmental_sensor,node_type_count_infrastructure_sensor,node_type_count_opportunistic_object,node_type_count_personal_device,node_type_count_vehicle_sensor,node_type_count_wearable,capability_count_place,capability_count_activity,capability_count_env_load,capability_count_resource_state,graph_size,scalability_episodes,scalability_seeds
ambiguous_local_context,7,7,61,60,101,0.055191256830601096,3.3114754098360657,0.022092115534738485,True,3.4939890710382513,5.0,61,1.0,8,0.13333333333333333,0.21523552718467978,8,32,55,60,3,17,33,33,15,1,16,14,19,2,8,1,43,20,42,20,60,12,"7,11,13"
noisy_untrusted_external,7,7,61,60,84,0.04590163934426229,2.7540983606557377,0.0141295862607338,True,3.902185792349727,6.0,61,1.0,5,0.08333333333333333,0.29002017756255044,5,29,52,60,3,11,25,27,18,1,16,14,19,2,8,1,46,18,39,21,60,12,"7,11,13"
nominal,7,8,61,60,93,0.05081967213114754,3.0491803278688523,0.015300546448087432,True,3.7901639344262295,6.0,61,1.0,6,0.1,0.2532964634235821,6,30,53,60,3,15,34,20,21,1,16,14,19,2,8,1,37,21,39,21,60,12,"7,11,13"
degraded_ego,7,8,61,60,99,0.054098360655737705,3.2459016393442623,0.013114754098360656,True,3.5639344262295083,5.0,61,1.0,8,0.13333333333333333,0.270421471184183,8,32,55,60,3,10,32,36,18,1,16,14,19,2,8,1,44,16,38,22,60,12,"7,11,13"
ambiguous_local_context,7,8,61,60,100,0.0546448087431694,3.278688524590164,0.029898516783762683,True,3.5071038251366122,5.0,61,1.0,5,0.08333333333333333,0.08438615370818763,5,29,52,60,3,14,32,28,23,1,16,14,19,2,8,1,42,16,36,22,60,12,"7,11,13"
noisy_untrusted_external,7,8,61,60,89,0.048633879781420766,2.918032786885246,0.0,True,3.8420765027322403,6.0,61,1.0,8,0.13333333333333333,0.4101282803825177,8,32,55,60,3,11,32,23,20,1,16,14,19,2,8,1,38,17,34,19,60,12,"7,11,13"
nominal,7,9,61,60,93,0.05081967213114754,3.0491803278688523,0.054098360655737705,True,3.7557377049180327,5.0,61,1.0,7,0.11666666666666667,0.29113801452784505,7,31,54,60,3,15,29,27,19,1,16,14,19,2,8,1,42,16,47,23,60,12,"7,11,13"
degraded_ego,7,9,61,60,96,0.05245901639344262,3.1475409836065573,0.027322404371584702,True,3.571584699453552,5.0,61,1.0,7,0.11666666666666667,0.21635572838962674,7,31,54,60,3,12,29,28,24,1,16,14,19,2,8,1,41,14,38,22,60,12,"7,11,13"
ambiguous_local_context,7,9,61,60,107,0.058469945355191254,3.5081967213114753,0.04410616705698672,True,3.3486338797814206,5.0,61,1.0,5,0.08333333333333333,0.06266457177474129,5,29,52,60,3,18,30,28,28,1,16,14,19,2,8,1,42,18,37,22,60,12,"7,11,13"
noisy_untrusted_external,7,9,61,60,93,0.05081967213114754,3.0491803278688523,0.01366120218579235,True,3.7174863387978143,5.0,61,1.0,6,0.1,0.19983388080845715,6,30,53,60,3,13,34,22,21,1,16,14,19,2,8,1,41,21,41,25,60,12,"7,11,13"
nominal,7,10,61,60,92,0.05027322404371585,3.0163934426229506,0.013192818110850896,True,3.732786885245902,5.0,61,1.0,6,0.1,0.26870308285562533,6,30,53,60,5,13,32,21,21,1,16,14,19,2,8,1,47,19,43,23,60,12,"7,11,13"
degraded_ego,7,10,61,60,98,0.053551912568306013,3.2131147540983607,0.054293520686963304,True,3.6153005464480876,5.0,61,1.0,5,0.08333333333333333,0.13630285909946926,5,29,52,60,5,13,27,29,24,1,16,14,19,2,8,1,40,18,43,26,60,12,"7,11,13"
ambiguous_local_context,7,10,61,60,97,0.053005464480874315,3.180327868852459,0.0049180327868852455,True,3.57103825136612,5.0,61,1.0,6,0.1,0.13114926504757016,6,30,53,60,3,15,35,27,17,1,16,14,19,2,8,1,46,18,39,19,60,12,"7,11,13"
noisy_untrusted_external,7,10,61,60,114,0.06229508196721312,3.737704918032787,0.044691647150663545,True,3.3633879781420766,5.0,61,1.0,7,0.11666666666666667,0.1200017982645101,7,31,54,60,5,24,36,24,25,1,16,14,19,2,8,1,48,18,40,24,60,12,"7,11,13"
nominal,7,11,61,60,94,0.05136612021857923,3.081967213114754,0.026697892271662763,True,3.7114754098360656,5.0,61,1.0,8,0.13333333333333333,0.3164702717245089,8,32,55,60,3,13,30,28,20,1,16,14,19,2,8,1,39,22,41,20,60,12,"7,11,13"
degraded_ego,7,11,61,60,102,0.05573770491803279,3.3442622950819674,0.029976580796252927,True,3.533333333333333,5.0,61,1.0,5,0.08333333333333333,0.1105835517276195,5,29,52,60,3,14,23,34,28,1,16,14,19,2,8,1,34,16,41,22,60,12,"7,11,13"
ambiguous_local_context,7,11,61,60,92,0.05027322404371585,3.0163934426229506,0.016939890710382512,True,3.7775956284153005,5.0,61,1.0,7,0.11666666666666667,0.31886736615550176,7,31,54,60,3,11,31,24,23,1,16,14,19,2,8,1,37,15,37,27,60,12,"7,11,13"
noisy_untrusted_external,7,11,61,60,101,0.055191256830601096,3.3114754098360657,0.0234192037470726,True,3.5366120218579233,5.0,61,1.0,6,0.1,0.172121502163875,6,30,53,60,3,12,30,31,25,1,16,14,19,2,8,1,40,20,41,23,60,12,"7,11,13"
nominal,11,0,61,60,99,0.054098360655737705,3.2459016393442623,0.03192818110850898,True,3.6295081967213116,5.0,61,1.0,6,0.1,0.1844451374112392,6,30,53,60,3,19,27,23,27,1,16,14,19,2,8,1,37,17,37,26,60,12,"7,11,13"
degraded_ego,11,0,61,60,106,0.05792349726775956,3.4754098360655736,0.033879781420765025,True,3.4437158469945355,5.0,61,1.0,5,0.08333333333333333,0.11929580306698952,5,29,52,60,4,16,29,32,25,1,16,14,19,2,8,1,38,15,37,27,60,12,"7,11,13"
ambiguous_local_context,11,0,61,60,93,0.05081967213114754,3.0491803278688523,0.016978922716627636,True,3.6349726775956284,5.0,61,1.0,5,0.08333333333333333,0.17606739305891855,5,29,52,60,3,12,31,26,21,1,16,14,19,2,8,1,46,19,31,22,60,12,"7,11,13"
noisy_untrusted_external,11,0,61,60,89,0.048633879781420766,2.918032786885246,0.040827478532396565,True,3.8743169398907105,6.0,61,1.0,5,0.08333333333333333,0.2556481481481482,5,29,52,60,3,12,25,33,16,1,16,14,19,2,8,1,39,18,42,23,60,12,"7,11,13"
nominal,11,1,61,60,101,0.055191256830601096,3.3114754098360657,0.02533177205308353,True,3.5043715846994536,5.0,61,1.0,5,0.08333333333333333,0.10948210922787194,5,29,52,60,3,18,23,23,34,1,16,14,19,2,8,1,43,19,38,18,60,12,"7,11,13"
degraded_ego,11,1,61,60,100,0.0546448087431694,3.278688524590164,0.007338017174082747,True,3.566120218579235,5.0,61,1.0,5,0.08333333333333333,0.17425925925925928,5,29,52,60,3,15,28,33,21,1,16,14,19,2,8,1,41,21,34,21,60,12,"7,11,13"
ambiguous_local_context,11,1,61,60,103,0.05628415300546448,3.377049180327869,0.009836065573770491,True,3.540983606557377,5.0,61,1.0,8,0.13333333333333333,0.25834380936075846,8,32,55,60,3,18,37,22,23,1,16,14,19,2,8,1,41,24,36,22,60,12,"7,11,13"
noisy_untrusted_external,11,1,61,60,97,0.053005464480874315,3.180327868852459,0.020218579234972677,True,3.7076502732240435,5.0,61,1.0,8,0.13333333333333333,0.290730692722218,8,32,55,60,4,15,28,22,28,1,16,14,19,2,8,1,32,17,42,18,60,12,"7,11,13"
nominal,11,2,61,60,92,0.05027322404371585,3.0163934426229506,0.021311475409836068,True,3.9027322404371585,6.0,61,1.0,8,0.13333333333333333,0.42505299157841536,8,32,55,60,3,10,28,28,23,1,16,14,19,2,8,1,46,15,37,23,60,12,"7,11,13"
degraded_ego,11,2,61,60,98,0.053551912568306013,3.2131147540983607,0.05136612021857923,True,3.685792349726776,5.0,61,1.0,7,0.11666666666666667,0.24337862075150213,7,31,54,60,3,16,28,28,23,1,16,14,19,2,8,1,38,17,46,26,60,12,"7,11,13"
ambiguous_local_context,11,2,61,60,89,0.048633879781420766,2.918032786885246,0.015846994535519125,True,3.8136612021857923,5.0,61,1.0,7,0.11666666666666667,0.3187134993067197,7,31,54,60,3,13,29,15,29,1,16,14,19,2,8,1,42,19,35,23,60,12,"7,11,13"
noisy_untrusted_external,11,2,61,60,95,0.05191256830601093,3.1147540983606556,0.03665105386416862,True,3.6562841530054646,5.0,61,1.0,5,0.08333333333333333,0.15595967748510126,5,29,52,60,3,8,33,27,24,1,16,14,19,2,8,1,42,19,35,23,60,12,"7,11,13"
nominal,11,3,61,60,108,0.05901639344262295,3.540983606557377,0.0268279989591465,True,3.3382513661202187,5.0,61,1.0,5,0.08333333333333333,0.07093970295241482,5,29,52,60,3,18,35,25,27,1,16,14,19,2,8,1,47,16,41,21,60,12,"7,11,13"
degraded_ego,11,3,61,60,96,0.05245901639344262,3.1475409836065573,0.018579234972677595,True,3.626775956284153,5.0,61,1.0,8,0.13333333333333333,0.31824870985887943,8,32,55,60,4,11,30,20,31,1,16,14,19,2,8,1,37,15,37,13,60,12,"7,11,13"
ambiguous_local_context,11,3,61,60,103,0.05628415300546448,3.377049180327869,0.023185011709601872,True,3.433333333333333,5.0,61,1.0,5,0.08333333333333333,0.11339330553313602,5,29,52,60,3,14,30,28,28,1,16,14,19,2,8,1,40,16,45,20,60,12,"7,11,13"
noisy_untrusted_external,11,3,61,60,95,0.05191256830601093,3.1147540983606556,0.00819672131147541,True,3.525136612021858,5.0,61,1.0,5,0.08333333333333333,0.10987288135593222,5,29,52,60,3,12,31,21,28,1,16,14,19,2,8,1,36,12,38,25,60,12,"7,11,13"
nominal,11,4,61,60,91,0.04972677595628415,2.9836065573770494,0.009836065573770491,True,3.7333333333333334,5.0,61,1.0,7,0.11666666666666667,0.3626161330822347,7,31,54,60,3,12,30,23,23,1,16,14,19,2,8,1,43,14,41,24,60,12,"7,11,13"
degraded_ego,11,4,61,60,92,0.05027322404371585,3.0163934426229506,0.01444184231069477,True,3.7431693989071038,5.0,61,1.0,6,0.1,0.23364474038202848,6,30,53,60,3,18,25,22,24,1,16,14,19,2,8,1,44,15,36,24,60,12,"7,11,13"
ambiguous_local_context,11,4,61,60,89,0.048633879781420766,2.918032786885246,0.03520686963309914,True,3.8125683060109288,6.0,61,1.0,7,0.11666666666666667,0.33155905299973104,7,31,54,60,3,17,32,18,19,1,16,14,19,2,8,1,37,16,35,15,60,12,"7,11,13"
noisy_untrusted_external,11,4,61,60,99,0.054098360655737705,3.2459016393442623,0.03278688524590164,True,3.5508196721311474,5.0,61,1.0,8,0.13333333333333333,0.23113997113997112,8,32,55,60,3,9,28,37,22,1,16,14,19,2,8,1,41,17,35,24,60,12,"7,11,13"
nominal,11,5,61,60,84,0.04590163934426229,2.7540983606557377,0.016939890710382512,True,4.0,6.0,61,1.0,6,0.1,0.35851260321599304,6,30,53,60,3,8,31,18,24,1,16,14,19,2,8,1,34,20,30,23,60,12,"7,11,13"
degraded_ego,11,5,61,60,96,0.05245901639344262,3.1475409836065573,0.021350507416081188,True,3.591803278688525,5.0,61,1.0,8,0.13333333333333333,0.2737333993689926,8,32,55,60,4,8,28,25,31,1,16,14,19,2,8,1,45,19,35,20,60,12,"7,11,13"
ambiguous_local_context,11,5,61,60,100,0.0546448087431694,3.278688524590164,0.004605776736924278,True,3.509289617486339,5.0,61,1.0,6,0.1,0.1901531252802439,6,30,53,60,3,13,31,32,21,1,16,14,19,2,8,1,34,18,40,24,60,12,"7,11,13"
noisy_untrusted_external,11,5,61,60,99,0.054098360655737705,3.2459016393442623,0.025500910746812388,True,3.473224043715847,5.0,61,1.0,7,0.11666666666666667,0.2143749439512151,7,31,54,60,3,15,32,26,23,1,16,14,19,2,8,1,39,16,36,22,60,12,"7,11,13"
nominal,11,6,61,60,106,0.05792349726775956,3.4754098360655736,0.023653395784543327,True,3.4153005464480874,5.0,61,1.0,5,0.08333333333333333,0.07844358090120804,5,29,52,60,3,13,33,28,29,1,16,14,19,2,8,1,39,22,36,17,60,12,"7,11,13"
degraded_ego,11,6,61,60,105,0.05737704918032787,3.442622950819672,0.007650273224043716,True,3.389071038251366,5.0,61,1.0,8,0.13333333333333333,0.18344969061070765,8,32,55,60,4,14,33,31,23,1,16,14,19,2,8,1,43,15,39,27,60,12,"7,11,13"
ambiguous_local_context,11,6,61,60,103,0.05628415300546448,3.377049180327869,0.022365339578454334,True,3.4344262295081966,5.0,61,1.0,8,0.13333333333333333,0.1908064126708195,8,32,55,60,4,14,29,30,26,1,16,14,19,2,8,1,36,21,39,25,60,12,"7,11,13"
noisy_untrusted_external,11,6,61,60,104,0.05683060109289618,3.4098360655737703,0.044691647150663545,True,3.418032786885246,5.0,61,1.0,8,0.13333333333333333,0.19719447533006854,8,32,55,60,4,14,39,23,24,1,16,14,19,2,8,1,37,18,40,20,60,12,"7,11,13"
nominal,11,7,61,60,92,0.05027322404371585,3.0163934426229506,0.026775956284153003,True,3.7295081967213113,5.0,61,1.0,8,0.13333333333333333,0.35874831853645406,8,32,55,60,3,9,29,25,26,1,16,14,19,2,8,1,41,14,37,19,60,12,"7,11,13"
degraded_ego,11,7,61,60,99,0.054098360655737705,3.2459016393442623,0.022365339578454334,True,3.495081967213115,5.0,61,1.0,5,0.08333333333333333,0.09494435727486573,5,29,52,60,3,13,29,31,23,1,16,14,19,2,8,1,37,15,42,20,60,12,"7,11,13"
ambiguous_local_context,11,7,61,60,88,0.048087431693989074,2.8852459016393444,0.023497267759562842,True,3.810382513661202,6.0,61,1.0,5,0.08333333333333333,0.2001614205004036,5,29,52,60,3,12,26,26,21,1,16,14,19,2,8,1,41,18,35,25,60,12,"7,11,13"
noisy_untrusted_external,11,7,61,60,98,0.053551912568306013,3.2131147540983607,0.030054644808743168,True,3.533879781420765,5.0,61,1.0,7,0.11666666666666667,0.20372746838848524,7,31,54,60,3,12,32,36,15,1,16,14,19,2,8,1,41,17,45,16,60,12,"7,11,13"
nominal,11,8,61,60,108,0.05901639344262295,3.540983606557377,0.03778298204527712,True,3.355737704918033,5.0,61,1.0,5,0.08333333333333333,0.06544704510806203,5,29,52,60,3,14,28,37,26,1,16,14,19,2,8,1,41,11,33,23,60,12,"7,11,13"
degraded_ego,11,8,61,60,102,0.05573770491803279,3.3442622950819674,0.02338017174082748,True,3.5081967213114753,5.0,61,1.0,5,0.08333333333333333,0.09798095971824786,5,29,52,60,4,12,27,35,24,1,16,14,19,2,8,1,41,12,35,19,60,12,"7,11,13"
ambiguous_local_context,11,8,61,60,92,0.05027322404371585,3.0163934426229506,0.025683060109289616,True,3.6814207650273225,5.0,61,1.0,7,0.11666666666666667,0.25975652407855804,7,31,54,60,3,13,32,20,24,1,16,14,19,2,8,1,36,14,44,23,60,12,"7,11,13"
noisy_untrusted_external,11,8,61,60,94,0.05136612021857923,3.081967213114754,0.03169398907103825,True,3.7153005464480873,5.0,61,1.0,7,0.11666666666666667,0.2866097211012465,7,31,54,60,4,13,32,22,23,1,16,14,19,2,8,1,40,15,37,22,60,12,"7,11,13"
nominal,11,9,61,60,90,0.04918032786885246,2.9508196721311477,0.01256830601092896,True,3.8284153005464483,5.0,61,1.0,7,0.11666666666666667,0.399704592331711,7,31,54,60,3,15,30,26,16,1,16,14,19,2,8,1,42,21,38,20,60,12,"7,11,13"
degraded_ego,11,9,61,60,100,0.0546448087431694,3.278688524590164,0.02747853239656518,True,3.518032786885246,5.0,61,1.0,6,0.1,0.15232602457178726,6,30,53,60,4,17,31,22,26,1,16,14,19,2,8,1,39,19,34,22,60,12,"7,11,13"
ambiguous_local_context,11,9,61,60,106,0.05792349726775956,3.4754098360655736,0.016237314597970336,True,3.4786885245901638,5.0,61,1.0,6,0.1,0.14739866379696887,6,30,53,60,3,18,34,36,15,1,16,14,19,2,8,1,34,19,45,19,60,12,"7,11,13"
noisy_untrusted_external,11,9,61,60,92,0.05027322404371585,3.0163934426229506,0.0321623731459797,True,3.851912568306011,6.0,61,1.0,5,0.08333333333333333,0.21514012196215593,5,29,52,60,4,12,26,20,30,1,16,14,19,2,8,1,43,21,34,21,60,12,"7,11,13"
nominal,11,10,61,60,106,0.05792349726775956,3.4754098360655736,0.03684621389539423,True,3.3612021857923495,5.0,61,1.0,6,0.1,0.12395883777239702,6,30,53,60,4,13,31,29,29,1,16,14,19,2,8,1,43,21,41,20,60,12,"7,11,13"
degraded_ego,11,10,61,60,99,0.054098360655737705,3.2459016393442623,0.030640124902419984,True,3.6901639344262294,5.0,61,1.0,8,0.13333333333333333,0.30311474307237024,8,32,55,60,3,13,31,29,23,1,16,14,19,2,8,1,44,17,44,18,60,12,"7,11,13"
ambiguous_local_context,11,10,61,60,95,0.05191256830601093,3.1147540983606556,0.0,True,3.7065573770491804,5.0,61,1.0,8,0.13333333333333333,0.3069645608628661,8,32,55,60,4,14,25,27,25,1,16,14,19,2,8,1,38,16,40,22,60,12,"7,11,13"
noisy_untrusted_external,11,10,61,60,101,0.055191256830601096,3.3114754098360657,0.03618266978922717,True,3.4475409836065576,5.0,61,1.0,5,0.08333333333333333,0.10074763905272383,5,29,52,60,3,15,23,29,31,1,16,14,19,2,8,1,47,17,37,16,60,12,"7,11,13"
nominal,11,11,61,60,94,0.05136612021857923,3.081967213114754,0.028649492583918815,True,3.6939890710382515,5.0,61,1.0,6,0.1,0.24913016168499716,6,30,53,60,5,9,30,27,23,1,16,14,19,2,8,1,43,14,34,25,60,12,"7,11,13"
degraded_ego,11,11,61,60,100,0.0546448087431694,3.278688524590164,0.04488680718188915,True,3.519672131147541,5.0,61,1.0,6,0.1,0.14365796789525603,6,30,53,60,3,15,35,21,26,1,16,14,19,2,8,1,40,18,40,22,60,12,"7,11,13"
ambiguous_local_context,11,11,61,60,90,0.04918032786885246,2.9508196721311477,0.03282591725214676,True,3.800546448087432,6.0,61,1.0,8,0.13333333333333333,0.40336561743341387,8,32,55,60,3,8,29,31,19,1,16,14,19,2,8,1,39,19,44,17,60,12,"7,11,13"
noisy_untrusted_external,11,11,61,60,99,0.054098360655737705,3.2459016393442623,0.06411657559198543,True,3.5721311475409836,5.0,61,1.0,5,0.08333333333333333,0.10962702394905788,5,29,52,60,3,16,31,25,24,1,16,14,19,2,8,1,41,17,36,18,60,12,"7,11,13"
nominal,13,0,61,60,95,0.05191256830601093,3.1147540983606556,0.06416861826697892,True,3.771584699453552,6.0,61,1.0,7,0.11666666666666667,0.3125659995998979,7,31,54,60,5,9,31,28,22,1,16,14,19,2,8,1,39,17,39,21,60,12,"7,11,13"
